task,is_primary,model,threshold,n_train,n_val,n_test,train_pos_rate,val_pos_rate,test_pos_rate,val_best_mcc,val_mcc,val_roc_auc,val_pr_auc,val_f1,val_precision,val_recall,val_accuracy,val_bal_acc,test_mcc,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_accuracy,test_bal_acc
SR-HSE,True,MLP,0.31999999999999995,4659,598,581,0.058166988624168275,0.07525083612040134,0.043029259896729774,0.1400015128831916,0.1400015128831916,0.537392003214788,0.13091804223183212,0.14035087719298245,0.3333333333333333,0.08888888888888889,0.9180602006688964,0.5372111713883866,0.02884377927919588,0.6402877697841727,0.09117518206987453,0.05405405405405406,0.08333333333333333,0.04,0.9397590361445783,0.5101079136690647
SR-HSE,True,SVM,0.18,4659,598,581,0.058166988624168275,0.07525083612040134,0.043029259896729774,0.1591942770909422,0.1591942770909422,0.6237894313843682,0.1476343264643718,0.08333333333333333,0.6666666666666666,0.044444444444444446,0.9264214046822743,0.521318063090215,0.1323527109429014,0.6115107913669064,0.09058519431369405,0.07407407407407407,0.5,0.04,0.9569707401032702,0.5191007194244605
SR-MMP,True,RF,0.41999999999999993,4178,492,505,0.14576352321685015,0.14634146341463414,0.29108910891089107,0.48639767106146764,0.48639767106146764,0.8603505291005291,0.5757219642758202,0.5637583892617449,0.5454545454545454,0.5833333333333334,0.8678861788617886,0.75,0.4152068239334867,0.8069775396191996,0.6073182485489269,0.6060606060606061,0.5092592592592593,0.7482993197278912,0.7168316831683168,0.7261049671265154
SR-MMP,True,XGB,0.4799999999999999,4178,492,505,0.14576352321685015,0.14634146341463414,0.29108910891089107,0.45313677693839044,0.45313677693839044,0.8414021164021165,0.5385309795711964,0.5320197044334976,0.4122137404580153,0.75,0.806910569105691,0.7833333333333333,0.3954127084845327,0.8029491126059362,0.6207807784916494,0.595,0.47035573122529645,0.8095238095238095,0.6792079207920793,0.717611066773078
SR-MMP,True,MLP,0.10999999999999999,4178,492,505,0.14576352321685015,0.14634146341463414,0.29108910891089107,0.4305555555555556,0.4305555555555556,0.8078703703703703,0.5054074014084288,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.8577235772357723,0.7152777777777777,0.3231290041000446,0.7368791091855738,0.5345920491513383,0.5018450184501845,0.5483870967741935,0.46258503401360546,0.7326732673267327,0.6530802265040094
SR-MMP,True,SVM,0.25999999999999995,4178,492,505,0.14576352321685015,0.14634146341463414,0.29108910891089107,0.29110256872576296,0.29110256872576296,0.7355489417989418,0.3681411508242944,0.3779527559055118,0.43636363636363634,0.3333333333333333,0.8394308943089431,0.6297619047619047,0.31382314345395995,0.7279291604910121,0.566391831155977,0.4253393665158371,0.6351351351351351,0.3197278911564626,0.7485148514851485,0.6221544483715273
SR-p53,True,RF,0.25999999999999995,4846,614,597,0.057985967808501855,0.08306188925081433,0.07537688442211055,0.408388170579638,0.408388170579638,0.8451920732769129,0.41664736555009596,0.46017699115044247,0.41935483870967744,0.5098039215686274,0.9006514657980456,0.7229303799672622,0.19889067186982515,0.7859098228663446,0.306383672065077,0.26666666666666666,0.2,0.4,0.8341708542713567,0.6347826086956522
SR-p53,True,XGB,0.61,4846,614,597,0.057985967808501855,0.08306188925081433,0.07537688442211055,0.41575877752530066,0.41575877752530066,0.7922195521192491,0.36707230644785294,0.43902439024390244,0.5806451612903226,0.35294117647058826,0.9250814332247557,0.66492529516247,0.22680784625608003,0.713365539452496,0.2655449100045039,0.2857142857142857,0.2826086956521739,0.28888888888888886,0.8911222780569514,0.6145531400966183
SR-p53,True,MLP,0.05,4846,614,597,0.057985967808501855,0.08306188925081433,0.07537688442211055,0.30470550103097443,0.30470550103097443,0.7359035976735278,0.3339651713973588,0.32,0.5,0.23529411764705882,0.9169381107491856,0.6069898652178456,0.21144362973016556,0.6534219001610306,0.2613830907039001,0.26506024096385544,0.2894736842105263,0.24444444444444444,0.897822445561139,0.5977657004830917
SR-p53,True,SVM,0.10999999999999999,4846,614,597,0.057985967808501855,0.08306188925081433,0.07537688442211055,0.3005393733414222,0.3005393733414222,0.7033399505450494,0.30006672552284014,0.3055555555555556,0.5238095238095238,0.21568627450980393,0.9185667752442996,0.5989621425834988,0.20938698372237832,0.6230273752012881,0.2089461014461384,0.2222222222222222,0.3888888888888889,0.15555555555555556,0.9179229480737019,0.5678140096618358
